ASV,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_187,d__Eukaryota,p__Nematoda,c__Chromadorea,,,,
ASV_109,d__Eukaryota,p__Arthropoda,,,,,
ASV_176,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,f__Suidasiidae,g__Suidasia,
ASV_23,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,,,
ASV_100,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,,,
ASV_12,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Salticidae,g__Hasarius,s__Hasarius adansoni
ASV_178,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Salticidae,g__Cytaea,s__Cytaea cf. sinuata JXZ-2013
ASV_1,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_3,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_8,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_9,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_13,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_14,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_22,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_25,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_29,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_31,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_32,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_36,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_42,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_46,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_53,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_64,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_67,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_83,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_89,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_98,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_105,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_136,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_140,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_159,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_166,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_189,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_201,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_208,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_213,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_137,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Scorpiones,f__Buthidae,g__Buthus,s__Buthus mariefranceae
ASV_107,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Tygarrup,s__Tygarrup javanicus
ASV_108,d__Eukaryota,p__Arthropoda,c__Malacostraca,o__Isopoda,f__Philosciidae,g__Anchiphiloscia,s__Anchiphiloscia pilosa
ASV_170,d__Eukaryota,p__Arthropoda,c__Malacostraca,o__Isopoda,f__Philosciidae,g__Littorophiloscia,s__Littorophiloscia bifasciata
ASV_24,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
