	CEN10b_S19	CEN11b_S26	CEN12b_S27	CEN13b_S35	CEN14b_S36	CEN15b_S37	CEN16b_S38	CEN17b_S39	CEN1b_S11	CEN2b_S12	CEN3b_S13	CEN4b_S14	CEN6b_S15	CEN7b_S16	CEN8b_S17	CEN9b_S18	CL1-2a_S62	CL1-2b_S29	CL1-2c_S28	CL1-2d_S24	CL4-2a_S63	CL4-2b_S30	CL4-2c_S29	CL4-2d_S25	EUB10c_S70	EUB12c_S71	EUB13c_S101	EUB15c_S102	EUB16c_S103	EUB18c_S104	EUB19c_S105	EUB1c_S61	EUB20c_S106	EUB21c_S51	EUB23c_S52	EUB24c_S53	EUB25c_S54	EUB26c_S55	EUB27c_S56	EUB28c_S57	EUB29c_S58	EUB2c_S62	EUB30c_S59	EUB31c_S60	EUB32c_S91	EUB34c_S92	EUB35c_S93	EUB36c_S94	EUB3c_S63	EUB4c_S64	EUB5c_S65	EUB6c_S66	EUB7c_S67	EUB8c_S68	EUB9c_S69	HEV-100d_S22	HEV-101d_S23	HEV-102d_S1	HEV-103d_S2	HEV-104d_S3	HEV-105d_S4	HEV-106d_S5	HEV-107d_S6	HEV-108d_S7	HEV-109d_S8	HEV-110d_S9	HEV-111d_S10	HEV-90d_S12	HEV-91d_S13	HEV-92d_S14	HEV-93d_S15	HEV-94d_S16	HEV-95d_S17	HEV-96d_S18	HEV-97d_S19	HEV-98d_S20	HEV-99d_S21	HEV01a_S1	HEV02a_S14	HEV03a_S2	HEV04a_S3	HEV05a_S18	HEV07a_S19	HEV07b_S6	HEV07c_S10	HEV07d_S47	HEV10a_S6	HEV10b_S1	HEV10c_S1	HEV10d_S37	HEV11a_S7	HEV11b_S2	HEV11c_S2	HEV11d_S38	HEV12a_S15	HEV12b_S5	HEV12c_S7	HEV12d_S44	HEV13a_S24	HEV13b_S8	HEV13c_S12	HEV13d_S49	HEV14a_S25	HEV14b_S9	HEV14c_S13	HEV14d_S50	HEV15a_S26	HEV15b_S10	HEV15c_S14	HEV15d_S51	HEV16a_S16	HEV16b_S22	HEV16c_S8	HEV16d_S45	HEV17a_S8	HEV17b_S3	HEV17c_S3	HEV17d_S39	HEV18a_S17	HEV18b_S23	HEV18c_S9	HEV18d_S46	HEV20a_S65	HEV20b_S32	HEV20c_S31	HEV20d_S27	HEV21a_S27	HEV21b_S24	HEV21c_S15	HEV21d_S52	HEV22a_S28	HEV22b_S25	HEV22c_S16	HEV22d_S53	HEV23a_S20	HEV23b_S7	HEV23c_S11	HEV23d_S48	HEV24a_S10	HEV24b_S4	HEV24c_S4	HEV24d_S41	HEV25a_S11	HEV25b_S20	HEV25c_S5	HEV25d_S42	HEV26a_S12	HEV26b_S21	HEV26c_S6	HEV26d_S43	HEV27a_S68	HEV27b_S34	HEV27c_S33	HEV27d_S29	HEV29a_S66	HEV29b_S33	HEV29c_S32	HEV29d_S28	HEV32a_S67	HEV34a_S53	HEV38a_S54	HEV39a_S21	HEV40a_S22	HEV42a_S23	HEV45a_S55	HEV49a_S56	HEV50a_S13	HEV65a_S29	HEV65d_S54	HEV66a_S30	HEV66d_S55	HEV67a_S31	HEV67d_S56	HEV68a_S32	HEV68d_S57	HEV70a_S34	HEV70d_S58	HEV71a_S35	HEV71d_S59	HEV74a_S38	HEV74d_S60	HEV76a_S4	HEV76d_S35	HEV79a_S73	HEV79d_S33	HEV81a_S5	HEV81d_S36	HEV82a_S9	HEV82d_S40	HEV83a_S75	HEV83d_S34	HEV87a_S69	HEV87d_S30	HEV88a_S70	HEV88d_S31	HEV89a_S71	HEV89d_S32	ISO10c_S25	ISO11c_S26	ISO12c_S45	ISO13c_S34	ISO14c_S35	ISO15c_S36	ISO16c_S37	ISO17c_S47	ISO18c_S38	ISO19c_S39	ISO1c_S17	ISO20c_S40	ISO21c_S41	ISO22c_S42	ISO23c_S48	ISO24c_S43	ISO25c_S44	ISO26c_S84	ISO27c_S46	ISO2c_S18	ISO30c_S49	ISO31c_S50	ISO32c_S85	ISO33c_S90	ISO34c_S86	ISO35c_S87	ISO36c_S88	ISO37c_S89	ISO4c_S19	ISO5c_S20	ISO6c_S21	ISO7c_S22	ISO8c_S23	ISO9c_S24	LRS2c_S95	LRS3c_S96	LRS5c_S97	LRS6c_S98	LRS7c_S99	LRS8c_S100	NEGa_S61	NEGb_S28	NEGc_S27	NEO10a_S50	NEO11a_S51	NEO12a_S52	NEO13a_S79	NEO14a_S80	NEO15a_S81	NEO16a_S82	NEO17a_S83	NEO18a_S84	NEO19a_S85	NEO1a_S41	NEO20a_S86	NEO21a_S87	NEO22a_S88	NEO23a_S89	NEO24a_S90	NEO25a_S57	NEO26a_S58	NEO2a_S42	NEO3a_S43	NEO4a_S44	NEO5a_S45	NEO6a_S46	NEO7a_S47	NEO8a_S48	NEO9a_S49	PAN10c_S81	PAN11c_S82	PAN12c_S83	PAN13c_S107	PAN14c_S108	PAN15c_S109	PAN1c_S72	PAN2c_S73	PAN3c_S74	PAN4c_S75	PAN5c_S76	PAN6c_S77	PAN7c_S78	PAN8c_S79	PAN9c_S80	PHH10b_S57	PHH16b_S58	PHH20b_S59	PHH21b_S60	PHH22b_S61	PHH23b_S88	PHH24b_S89	PHH25b_S74	PHH30b_S91	PHH32b_S75	PHH34b_S76	PHH35b_S77	PHH38b_S78	PHH39b_S92	PHH40b_S79	PHH41b_S93	PHH42b_S80	PHH43b_S81	PHH44b_S94	PHH45b_S95	PHH46b_S82	PHH47b_S83	PHH49b_S84	PHH4b_S52	PHH50b_S85	PHH51b_S97	PHH52b_S98	PHH53b_S99	PHH54b_S100	PHH55b_S101	PHH56b_S102	PHH57b_S103	PHH58b_S104	PHH59b_S105	PHH5b_S53	PHH60b_S106	PHH61b_S107	PHH62b_S62	PHH63b_S63	PHH65b_S64	PHH66b_S65	PHH67b_S66	PHH68b_S67	PHH69b_S68	PHH6b_S90	PHH70b_S69	PHH71b_S70	PHH72b_S71	PHH73b_S72	PHH74b_S73	PHH75b_S96	PHH7b_S54	PHH8b_S55	PHH9b_S56	QC1a_S64	QC1b_S31	QC1c_S30	QC1d_S26	SCY10a_S72	SCY12a_S74	SCY15a_S76	SCY16a_S77	SCY17a_S78	SCY3a_S33	SCY4a_S36	SCY7a_S37	SCY8a_S39	SCY9a_S40	SME10b_S48	SME11b_S49	SME12b_S50	SME13b_S51	SME14b_S86	SME1b_S40	SME2b_S41	SME3b_S42	SME5b_S43	SME6b_S44	SME7b_S45	SME8b_S46	SME9b_S47	SMEb_S87
ASV_1	11	3	11	4	2	0	0	4	0	2	0	0	1	8	1	0	0	0	0	0	0	0	0	0	6	15	8	0	0	16	6	0	9	0	5	0	1	2	0	0	2	1	4	7	0	0	0	0	7	0	0	0	24	0	0	177549	219330	186655	199567	134657	144754	188144	165465	143668	187585	180906	216838	184279	117123	69975	177197	236332	185771	218388	201722	177748	229747	141017	93773	89067	103753	136917	85469	72318	40010	70885	62168	54059	45384	50553	143786	123110	101066	93711	98581	87850	67109	81377	62957	47096	32354	51330	58979	39201	21480	47907	152784	146760	113298	133676	112197	97647	79202	88736	109113	87952	64773	86288	113102	86644	61573	88347	122211	92418	88871	96607	116140	89278	66230	106079	109870	97546	69526	90971	111016	89782	71216	73742	94578	71788	61235	69465	93958	83148	63302	67400	157222	122663	107052	121235	65409	35134	28364	65045	98198	82615	59742	75740	123117	148876	164645	122160	152024	146002	135426	129484	108146	98997	72696	67539	49343	19278	13261	52072	11229	66629	49268	78616	57775	130901	94911	98110	67593	100765	73859	68054	49573	62258	44056	105758	77049	67949	44416	135431	110293	102709	75926	12	10	4	4	0	0	4	0	0	0	0	0	0	0	0	0	3	4	3	0	10	7	0	0	0	1	0	0	0	0	0	10	0	5	18	39	5	47	28	13	242	9	22	76	64	99	102	57	0	33	32	53	344	130	40	92	69	26	66	259	419	67	108	108	123	182	140	33	66	1	3	4	0	0	0	0	0	2	0	1	5	3	0	2	0	9	3	3	3	9	0	5	0	0	25	19	7	0	3	2	24	22	2	0	12	6	43	0	13	0	0	0	172	78	10	0	10	0	0	0	5	123	0	207	24	72	9	16	4	16	13	57	12	21	42	3	0	0	0	0	0	0	205	81	95	277	165	163	76	104	197	209	153	329	90	144	47	97	31	135	37	117	55	10	37	392
ASV_2	3992	1069	741	172	120	2786	2130	819	105	1272	213	3567	38	6127	333	1607	0	0	0	0	0	0	0	0	490	1216	0	0	0	3862	0	0	0	0	0	5	0	0	7	15	0	0	58	0	0	0	0	0	371	168	484	0	0	218	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	82	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	4	0	0	0	62	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	53	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	15	0	0	0	54	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	52	0	0	0	0	0	0	0	0	21	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	19	0	78371	87968	73144	86524	99907	77148	79621	111987	22351	79615	93465	80554	112770	43485	86079	58399	96166	100087	69379	55117	113660	74355	79572	78918	121006	90456	89844	81728	62610	59794	86084	85751	94314	80542	99013	92945	84052	61901	95682	65690	102155	83341	105404	80539	46614	89915	72847	83787	101048	80025	115157	83231	62097	84417	0	0	0	0	5	7	0	0	0	0	1	0	7	0	5	9	10	6	13	2	3	0	2	6	4	2	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	14	18	16	0	0	0	0	0	42	0	0	0	57	0	0	0	0	0	0	0	25	0	0	0	20	0	0	0	25	0	0	0	13	0	0	0	29	0	0	0	18	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	29	0	0	0	58	0	0	0	0	0	0	0	22	0	0	0	37	68	53	24	10	14	17	39	0	0	0	0	0	0	0	12	0	0	0	22	0	14	0	48	0	0	0	15	0	23	0	8	0	30	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	24	0	0	101445	114600	111572	122344	110024	0	126343	74314	0	99008	275	117628	48033	74485	0	0	0	132372	10393	582	128594	17521	96013	114830	97711	82855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	15	13	0	0	9	13	8	11	0	0	3	4	0	9	0	30	0	22	1	0	0	1121
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87235	39569	40530	39019	53750	38567	58986	25857	6763	54036	14	18	22	32	24	24	31	50923	27	29	85203	66222	50375	59893	55154	71989	66007	54242	26678	33624	1116	9	24	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	63	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	48	0	0	0	0	12	0	18	4	0	0	12	20	3	26	3	774	555	5499	38	1722	35	464	2085	0	55	229	0	218	137	93	55	60	251	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	1	6	0	0	0	0	0	0	4	0	123	4	3	3	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87018	86219	88312	0	86925	0	71963	70461	0	78301	106168	107007	95961	87798	78900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	14	0	0	0	0	0	0	0	0	15	0	0	6	0	0	16	0	93	0	61	0	46	0	126	0	68	0	84	0	69	0	0	0	40	0	0	0	8	0	25	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	10	9	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	13	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107551	109146	108858	88038	12070	70345	118338	94072	94070	106023	749	158	513	192	0	0	199	168	69	7955	535	3265	304	2
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	2	243272	188148	151021	233022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98872	0	0	0	111154	72090	73196	0	82231	31516	0	75440	71210	13
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	9222	0	0	0	0	0	0	0	83004	0	99	0	44179	43283	123247	148181	0	0	0	265	0	200	0	0	0	24788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	3	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158262	179340	100329	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
